"('Date', '')","('Close', 'MSFT')","('High', 'MSFT')","('Low', 'MSFT')","('Open', 'MSFT')","('Volume', 'MSFT')"
1986-03-13,0.059388648718595505,0.06204037418765008,0.054086417510757934,0.054086417510757934,1031788800
1986-03-14,0.06150953844189644,0.06257059450099187,0.05938864605392244,0.05938864605392244,308160000
1986-03-17,0.06257056444883347,0.06310078729116503,0.06150950889935482,0.06150950889935482,133171200
1986-03-18,0.060979314148426056,0.06310081635988242,0.06044909106183608,0.06257059327329245,67766400
1986-03-19,0.05991886183619499,0.06150953093299122,0.05938863880392958,0.06097930790072581,47894400
1986-03-20,0.05832819640636444,0.05991886560316255,0.05779797334076508,0.05991886560316255,58435200
1986-03-21,0.056737516075372696,0.05938863088311368,0.05567707015227631,0.058328184960017286,59990400
1986-03-24,0.05514684319496155,0.056737511964351284,0.05461662027183164,0.056737511964351284,65289600
1986-03-25,0.05620730295777321,0.0562073029577732,0.054616633794544435,0.055146856848954026,32083200
1986-03-26,0.05779799073934555,0.058328213964554815,0.05567709783850848,0.05620732106371775,22752000
1986-03-27,0.05885842442512512,0.05885842442512512,0.05779797820468578,0.05779797820468578,16848000
1986-03-31,0.05832819640636444,0.05885841947196382,0.05726775027516571,0.05885841947196382,12873600
1986-04-01,0.05779799073934555,0.058328213964554815,0.05779799073934555,0.058328213964554815,11088000
1986-04-02,0.05832819640636444,0.05938864253756318,0.05779797334076508,0.05779797334076508,27014400
1986-04-03,0.05885842442512512,0.06044909375578413,0.05885842442512512,0.05885842442512512,23040000
1986-04-04,0.05885842442512512,0.05938864753534479,0.05885842442512512,0.05885842442512512,26582400
1986-04-07,0.05779799073934555,0.05938866041497335,0.056737544288927015,0.058858437189764086,16560000
1986-04-08,0.05832819640636444,0.05938864253756318,0.05779797334076508,0.05779797334076508,10252800
1986-04-09,0.059388648718595505,0.05991887183937926,0.05832820247702799,0.05832820247702799,12153600
1986-04-10,0.05991886183619499,0.0604490848684604,0.058328192739398765,0.05938863880392958,13881600
1986-04-11,0.060979314148426056,0.06204037018670247,0.06044909106183608,0.06044909106183608,17222400
1986-04-14,0.06150953844189644,0.062040371403998366,0.06097931534490294,0.06097931534490294,12153600
1986-04-15,0.06150953844189644,0.06150953844189644,0.05938864605392244,0.06150953844189644,9302400
1986-04-16,0.06363102048635483,0.06416124341495442,0.06097929597844211,0.061509518907041705,31910400
