"('Date', '')","('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')"
1980-12-12,0.09829748421907425,0.09872484086749372,0.09829748421907425,0.09829748421907425,469033600
1980-12-15,0.09316927939653397,0.09359663620556516,0.09316927939653397,0.09359663620556516,175884800
1980-12-16,0.08633086830377579,0.0867582194899494,0.08633086830377579,0.0867582194899494,105728000
1980-12-17,0.0884675681591034,0.08889492472542286,0.0884675681591034,0.0884675681591034,86441600
1980-12-18,0.09103250503540039,0.09145985610337518,0.09103250503540039,0.09103250503540039,73449600
1980-12-19,0.09658808261156082,0.09701543932003821,0.09658808261156082,0.09658808261156082,48630400
1980-12-22,0.10128902643918991,0.10171714795347608,0.10128902643918991,0.10128902643918991,37363200
1980-12-23,0.10556329041719437,0.10599064716358247,0.10556329041719437,0.10556329041719437,46950400
1980-12-24,0.11111889779567719,0.11154625455711202,0.11111889779567719,0.11111889779567719,48003200
1980-12-26,0.12137618660926819,0.12180354347769792,0.12137618660926819,0.12137618660926819,55574400
1980-12-29,0.12308554351329803,0.1235129001763316,0.12308554351329803,0.12308554351329803,93161600
1980-12-30,0.12009406834840775,0.12052141359433652,0.12009406834840775,0.12052141359433652,68880000
1980-12-31,0.11667526513338089,0.11710262189134059,0.11667526513338089,0.11710262189134059,35750400
1981-01-02,0.11795732378959656,0.11881203730402796,0.11795732378959656,0.11795732378959656,21660800
1981-01-05,0.11539319157600403,0.1158205368672299,0.11539319157600404,0.1158205368672299,35728000
1981-01-06,0.11026415228843689,0.1106915089259082,0.11026415228843689,0.1106915089259082,45158400
1981-01-07,0.10556329041719437,0.10599064716358247,0.10556329041719437,0.10599064716358247,55686400
1981-01-08,0.10342652350664139,0.1038538688159156,0.10342652350664139,0.1038538688159156,39827200
1981-01-09,0.10898208618164062,0.10940944278928347,0.10898208618164062,0.10898208618164062,21504000
1981-01-12,0.10812744498252869,0.10898214726455703,0.10812744498252869,0.10898214726455703,23699200
1981-01-13,0.10428120195865631,0.1047085585836103,0.10428120195865631,0.1047085585836103,23049600
1981-01-14,0.10470859706401825,0.10513595384602585,0.10470859706401825,0.10470859706401825,14291200
1981-01-15,0.10684533417224884,0.10770003604085794,0.10684533417224884,0.10684533417224884,14067200
1981-01-16,0.10599066317081451,0.10641801998174416,0.10599066317081451,0.10641801998174416,13395200
1981-01-19,0.11240096390247345,0.11282832069141555,0.11240096390247345,0.11240096390247345,41574400
1981-01-20,0.10898208618164062,0.10940944278928347,0.10898208618164062,0.10940944278928347,30083200
1981-01-21,0.11111889779567719,0.11197359990623716,0.11111889779567719,0.11111889779567719,15904000
1981-01-22,0.11240096390247345,0.11325567748035763,0.11240096390247345,0.11240096390247345,35548800
1981-01-23,0.11197361350059509,0.11282832712723281,0.11197361350059509,0.11240097031391395,11222400
1981-01-26,0.11026415228843689,0.1106915089259082,0.11026415228843689,0.1106915089259082,24640000
1981-01-27,0.10940949618816376,0.11026419840829357,0.10940949618816376,0.11026419840829357,23699200
1981-01-28,0.10599066317081451,0.10641801998174416,0.10599066317081451,0.10641801998174416,28156800
1981-01-29,0.10214442014694214,0.1025717767296424,0.10214442014694214,0.1025717767296424,43904000
1981-01-30,0.09658808261156082,0.09744279602851562,0.09658808261156082,0.09744279602851562,46188800
1981-02-02,0.09103250503540039,0.09145985610337518,0.09103250503540039,0.09145985610337518,23766400
1981-02-03,0.09445131570100784,0.09487866667531145,0.09445131570100784,0.09445131570100784,19152000
1981-02-04,0.09787016361951828,0.0982975089632054,0.09787016361951828,0.09787016361951828,27865600
1981-02-05,0.09787016361951828,0.09872486571920208,0.09787016361951828,0.09787016361951828,7929600
1981-02-06,0.09829748421907425,0.09872484086749372,0.09829748421907425,0.09829748421907425,13865600
1981-02-09,0.09316927939653397,0.09402398730844086,0.09316927939653397,0.09402398730844086,16755200
1981-02-10,0.09316927939653397,0.09359663620556516,0.09316927939653397,0.09316927939653397,18345600
1981-02-11,0.0901777595281601,0.09060511041764044,0.0901777595281601,0.09060511041764044,13843200
1981-02-12,0.08932231366634369,0.08975043503958498,0.08932231366634369,0.08975043503958498,14560000
1981-02-13,0.08718555420637131,0.08804026206747761,0.08718555420637131,0.08804026206747761,11155200
1981-02-17,0.08932231366634369,0.08975043503958498,0.08932231366634369,0.08932231366634369,12275200
1981-02-18,0.09316927939653397,0.09402398730844086,0.09316927939653397,0.09316927939653397,19241600
1981-02-19,0.08761288970708847,0.08804024641473913,0.08761288970708847,0.08804024641473913,22310400
1981-02-20,0.08291198313236237,0.08333933975224753,0.08291198313236237,0.08333933975224753,24371200
1981-02-23,0.08419408649206161,0.08462144333991528,0.08419408649206161,0.08419408649206161,14112000
1981-02-24,0.08120258152484894,0.08205728920013824,0.08120258152484894,0.08205728920013824,16979200
1981-02-25,0.08633086830377579,0.0867582194899494,0.08633086830377579,0.08633086830377579,19488000
1981-02-26,0.08761288970708847,0.08804024641473913,0.08761288970708847,0.08761288970708847,10841600
1981-02-27,0.09060513973236084,0.09145984749400946,0.09060513973236084,0.09060513973236084,14761600
1981-03-02,0.09103250503540039,0.09145985610337518,0.09103250503540039,0.09103250503540039,11760000
1981-03-03,0.08975043147802353,0.09017778820957909,0.08975043147802353,0.09017778820957909,16172800
1981-03-04,0.08889496326446533,0.08932231430990402,0.08889496326446533,0.08932231430990402,13708800
1981-03-05,0.0884675681591034,0.08889492472542286,0.0884675681591034,0.08889492472542286,5376000
1981-03-06,0.08761288970708847,0.08846759741623567,0.08761288970708847,0.08846759741623567,11603200
1981-03-09,0.08077522367238998,0.08120257462062229,0.08077522367238998,0.08120257462062229,15321600
1981-03-10,0.07692825049161911,0.07735560132046292,0.07692825049161911,0.07735560132046292,28380800
1981-03-11,0.0739368125796318,0.07479152041413023,0.0739368125796318,0.07479152041413023,29859200
1981-03-12,0.07692825049161911,0.07735560132046292,0.07692825049161911,0.07692825049161911,59248000
1981-03-13,0.07607357949018478,0.07650093052329808,0.07607357949018478,0.07650093052329808,231302400
1981-03-16,0.07906580716371536,0.07992051475224311,0.07906580716371536,0.07906580716371536,37228800
1981-03-17,0.08291198313236237,0.08376669066597973,0.08291198313236237,0.08291198313236237,43747200
1981-03-18,0.08804023265838623,0.08889494023398474,0.08804023265838623,0.08804023265838623,36937600
1981-03-19,0.08718555420637131,0.08761290528384688,0.08718555420637131,0.08761290528384688,37811200
1981-03-20,0.08804023265838623,0.08889494023398474,0.08804023265838623,0.08804023265838623,14604800
1981-03-23,0.09145984798669815,0.09231455575295104,0.09145984798669815,0.09145984798669815,22019200
1981-03-24,0.09103250503540039,0.09145985610337518,0.09103250503540039,0.09145985610337518,28156800
1981-03-25,0.08932231366634369,0.09017779178809932,0.08932231366634369,0.09017779178809932,7056000
1981-03-26,0.08761288970708847,0.08804024641473913,0.08761288970708847,0.08804024641473913,12275200
1981-03-27,0.08462142944335938,0.08504878051487731,0.08462142944335938,0.08504878051487731,12252800
1981-03-30,0.08462142944335938,0.08547613729255034,0.08462142944335938,0.08462142944335938,9900800
1981-03-31,0.08376673609018326,0.0846214440872833,0.08376673609018326,0.0846214440872833,15993600
1981-04-01,0.08291198313236237,0.08333933975224753,0.08291198313236237,0.08333933975224753,34070400
1981-04-02,0.0901777595281601,0.09060511041764044,0.0901777595281601,0.0901777595281601,31404800
1981-04-03,0.09060513973236084,0.0910324964662624,0.09060513973236084,0.09060513973236084,16486400
1981-04-06,0.08889496326446533,0.08932231430990402,0.08889496326446533,0.08932231430990402,22803200
1981-04-07,0.08804023265838623,0.08846758359310886,0.08804023265838623,0.08846758359310886,10684800
1981-04-08,0.09231454879045486,0.09316925649224446,0.09231454879045486,0.09231454879045486,21952000
1981-04-09,0.09402397274971008,0.09445132949256908,0.09402397274971008,0.09402397274971008,12499200
1981-04-10,0.09530604630708694,0.09573339738430396,0.09530604630708694,0.09530604630708694,33465600
1981-04-13,0.09530604630708694,0.09573339738430396,0.09530604630708694,0.09530604630708694,16060800
1981-04-14,0.09530604630708694,0.09573339738430396,0.09530604630708694,0.09530604630708694,6652800
1981-04-15,0.09060513973236084,0.0910324964662624,0.09060513973236084,0.0910324964662624,34048000
1981-04-16,0.08547615259885788,0.08590350374690206,0.08547615259885788,0.08590350374690206,23878400
1981-04-20,0.08804023265838623,0.08846758359310886,0.08804023265838623,0.08804023265838623,35347200
1981-04-21,0.09402397274971008,0.09445132949256908,0.09402397274971008,0.09402397274971008,28537600
1981-04-22,0.09744276851415634,0.09787012510196348,0.09744276851415634,0.09744276851415634,18995200
1981-04-23,0.10000692307949066,0.10043427982909714,0.10000692307949066,0.10000692307949066,58016000
1981-04-24,0.09915219247341156,0.10000689431447696,0.09915219247341157,0.10000689431447696,35056000
1981-04-27,0.09829748421907425,0.09872484086749372,0.09829748421907425,0.09872484086749372,38528000
1981-04-28,0.09658808261156082,0.09701543932003821,0.09658808261156082,0.09701543932003821,32188800
1981-04-29,0.09530604630708694,0.09573339738430396,0.09530604630708694,0.09573339738430396,13641600
1981-04-30,0.09701543301343918,0.09787014637483235,0.09701543301343918,0.09701543301343918,12611200
1981-05-01,0.09701543301343918,0.09787014637483235,0.09701543301343918,0.09701543301343918,16553600
